variable,group,value,id
Census Tract 4108,15min,0.0487444,17031410800
Census Tract 4109,15min,0.0215931,17031410900
Census Tract 4110,15min,0.0294664,17031411000
Census Tract 4111,15min,0.0503953,17031411100
Census Tract 4112,15min,0.0288484,17031411200
Census Tract 4201,15min,0.125262,17031420100
Census Tract 4202,15min,0.124604,17031420200
Census Tract 4203,15min,0.498081,17031420300
Census Tract 4204,15min,0.139085,17031420400
Census Tract 4205,15min,0.108151,17031420500
Census Tract 4206,15min,0.145414,17031420600
Census Tract 4207,15min,0.23902,17031420700
Census Tract 4208,15min,0.220227,17031420800
Census Tract 4212,15min,0.92098,17031421200
Census Tract 4301.01,15min,0.16157,17031430101
Census Tract 4301.02,15min,0.124469,17031430102
Census Tract 4302,15min,0.655679,17031430200
Census Tract 4303,15min,0.231873,17031430300
Census Tract 4304,15min,0.153634,17031430400
Census Tract 4305,15min,0.0549456,17031430500
Census Tract 4306,15min,0.0403919,17031430600
Census Tract 4307,15min,0.0785641,17031430700
Census Tract 4308,15min,0.114027,17031430800
Census Tract 4309,15min,0.136938,17031430900
Census Tract 4312,15min,0.123478,17031431200
Census Tract 4313.01,15min,0.157496,17031431301
Census Tract 4313.02,15min,1.05385,17031431302
Census Tract 4314,15min,0.374883,17031431400
Census Tract 4401.01,15min,0.977013,17031440101
Census Tract 4401.02,15min,0.114556,17031440102
Census Tract 4402.01,15min,0.840889,17031440201
Census Tract 4402.02,15min,0.915475,17031440202
Census Tract 4403,15min,1.14853,17031440300
Census Tract 4406,15min,1.06692,17031440600
Census Tract 4407,15min,0.368251,17031440700
Census Tract 4408,15min,0.139229,17031440800
Census Tract 4409,15min,0.804444,17031440900
Census Tract 4503,15min,0.100135,17031450300
Census Tract 4601,15min,0.290426,17031460100
Census Tract 4602,15min,0.160269,17031460200
Census Tract 4603.01,15min,0.256096,17031460301
Census Tract 4603.02,15min,0.248719,17031460302
Census Tract 4604,15min,0.18207,17031460400
Census Tract 4605,15min,0.142344,17031460500
Census Tract 4606,15min,0.221348,17031460600
Census Tract 4607,15min,0.121612,17031460700
Census Tract 4610,15min,0.0672833,17031461000
Census Tract 4701,15min,0.231126,17031470100
Census Tract 4801,15min,0.118144,17031480100
Census Tract 4802,15min,0.0471234,17031480200
Census Tract 4803,15min,0.0751867,17031480300
Census Tract 4804,15min,0.134617,17031480400
Census Tract 4805,15min,0.0905221,17031480500
Census Tract 4903,15min,1.27123,17031490300
Census Tract 4904,15min,0.804252,17031490400
Census Tract 4905,15min,1.04607,17031490500
Census Tract 4906,15min,0.491821,17031490600
Census Tract 4907,15min,0.276875,17031490700
Census Tract 4908,15min,0.435832,17031490800
Census Tract 4909.01,15min,0.180061,17031490901
Census Tract 4909.02,15min,0.459225,17031490902
Census Tract 4910,15min,0.139893,17031491000
Census Tract 4911,15min,0.13416,17031491100
Census Tract 4912,15min,0.392572,17031491200
Census Tract 4913,15min,0.0859664,17031491300
Census Tract 4914,15min,0.179396,17031491400
Census Tract 5001,15min,0.890664,17031500100
Census Tract 5002,15min,0.33738,17031500200
Census Tract 5003,15min,0.110943,17031500300
Census Tract 5101,15min,0.187558,17031510100
Census Tract 5102,15min,0.0978466,17031510200
Census Tract 5103,15min,0.15094,17031510300
Census Tract 5201,15min,0.244307,17031520100
Census Tract 5202,15min,0.466788,17031520200
Census Tract 5203,15min,0.0636139,17031520300
Census Tract 5204,15min,0.0291166,17031520400
Census Tract 5205,15min,0.492485,17031520500
Census Tract 5206,15min,0.521314,17031520600
Census Tract 5301,15min,0.167775,17031530100
Census Tract 5302,15min,0.249675,17031530200
Census Tract 5303,15min,0.379349,17031530300
Census Tract 5304,15min,0.485199,17031530400
Census Tract 5305.01,15min,0.427684,17031530501
Census Tract 5305.02,15min,0.393366,17031530502
Census Tract 5305.03,15min,0.782354,17031530503
Census Tract 5306,15min,0.23617,17031530600
Census Tract 5401.01,15min,1.1501,17031540101
Census Tract 5401.02,15min,1.14028,17031540102
Census Tract 5501,15min,0.281792,17031550100
Census Tract 5502,15min,0.773137,17031550200
Census Tract 5601,15min,0.21287,17031560100
Census Tract 5602,15min,0.188429,17031560200
Census Tract 5603,15min,0.127306,17031560300
Census Tract 5604,15min,0.114614,17031560400
Census Tract 5607,15min,0.0981955,17031560700
Census Tract 5608,15min,0.0358681,17031560800
Census Tract 5609,15min,0.0856276,17031560900
Census Tract 5610,15min,0.0725696,17031561000
Census Tract 5611,15min,0.0736817,17031561100
Census Tract 5701,15min,0.103134,17031570100
Census Tract 5702,15min,0.0837066,17031570200
Census Tract 5703,15min,0.612388,17031570300
Census Tract 5704,15min,0.113067,17031570400
Census Tract 5705,15min,0.101101,17031570500
