group,variable,value
min15,17031260400,15.6507069
min15,17031260500,17.62487512
min15,17031260600,16.59459609
min15,17031260700,16.47412981
min15,17031260800,16.62461184
min15,17031260900,16.40612733
min15,17031261000,17.45731674
min15,17031270500,17.62597181
min15,17031271200,16.68471785
min15,17031271300,16.72140707
min15,17031271400,16.38586544
min15,17031271500,16.7324013
min15,17031271800,16.54235551
min15,17031280100,18.71458981
min15,17031280400,14.36256225
min15,17031280800,17.83280797
min15,17031280900,13.58416708
min15,17031281900,18.63262859
min15,17031282700,12.96349775
min15,17031282800,17.28324454
min15,17031283100,13.85026056
min15,17031283200,13.22021264
min15,17031283800,12.28174404
min15,17031290900,16.77869945
min15,17031291200,12.04150565
min15,17031291600,11.45225296
min15,17031292200,12.43689211
min15,17031292400,8.789391549
min15,17031292500,8.759835892
min15,17031300500,8.678284603
min15,17031300600,8.474295529
min15,17031300700,8.161657809
min15,17031300800,7.725043914
min15,17031300900,7.414556969
min15,17031301100,7.327794407
min15,17031301200,11.36228537
min15,17031301600,7.308615118
min15,17031301701,7.473360405
min15,17031301702,7.320688728
min15,17031301801,8.083222305
min15,17031301802,8.562390413
min15,17031301803,7.855051695
min15,17031310200,18.80127093
min15,17031310300,16.8551744
min15,17031310400,16.27162387
min15,17031310500,15.57274359
min15,17031310600,15.12543561
min15,17031310700,11.77387579
min15,17031310800,11.81205744
min15,17031310900,11.35303072
min15,17031320100,12.71786031
min15,17031320400,14.7274385
min15,17031320600,17.80548673
min15,17031330100,16.89156419
min15,17031330200,16.20825116
min15,17031340300,15.99143889
min15,17031340400,17.41475737
min15,17031340500,16.11636034
min15,17031340600,16.04403757
min15,17031350100,14.69311369
min15,17031350400,14.728615
min15,17031351000,13.60702963
min15,17031351100,14.4426524
min15,17031351400,15.73914979
min15,17031351500,16.5389346
min15,17031360200,13.53187166
min15,17031380100,13.93248492
min15,17031380200,14.07111871
min15,17031380500,15.74786318
min15,17031380700,15.53716303
min15,17031381200,14.64567732
min15,17031381400,15.38086706
min15,17031381500,15.38086706
min15,17031381800,14.74958611
