variable,id,group,value
Census Tract 8345,17031610800,min15,15.43020178
Census Tract 8359,17031611000,min15,10.24645443
Census Tract 8360,17031611100,min15,10.393851
Census Tract 8362,17031611200,min15,10.73034545
Census Tract 8344,17031611300,min15,10.72414553
Census Tract 8343,17031611400,min15,10.05134616
Census Tract 701.01,17031611500,min15,10.02967652
Census Tract 1105.01,17031611600,min15,5.8874022
Census Tract 301.04,17031611700,min15,6.031835092
Census Tract 814.01,17031611800,min15,9.92952982
Census Tract 4301.02,17031611900,min15,9.834612577
Census Tract 7709.02,17031612000,min15,10.88063151
Census Tract 8241.21,17031612100,min15,10.85431525
Census Tract 4301.01,17031620100,min15,2.263104198
Census Tract 8041.09,17031620200,min15,1.963763002
Census Tract 8045.07,17031620300,min15,1.92013121
Census Tract 8046.11,17031620400,min15,1.913682889
Census Tract 8240.04,17031630100,min15,10.16695947
Census Tract 8240.06,17031630200,min15,6.363205649
Census Tract 2521.01,17031630300,min15,2.086001494
Census Tract 105.01,17031630400,min15,2.065653254
Census Tract 207.01,17031630500,min15,5.976636556
Census Tract 102.01,17031630800,min15,1.675373031
Census Tract 7608.01,17031630900,min15,1.858069267
Census Tract 8390,17031640100,min15,4.740670396
Census Tract 4402.01,17031640300,min15,2.180312855
Census Tract 5401.01,17031640400,min15,2.252131494
Census Tract 8020.04,17031640500,min15,2.597375954
Census Tract 8020.03,17031640600,min15,1.576076959
Census Tract 8030.13,17031640700,min15,4.481966614
Census Tract 8026.08,17031640800,min15,4.938863144
Census Tract 8030.15,17031650100,min15,1.996727443
Census Tract 8030.14,17031650200,min15,4.099579588
Census Tract 8340,17031650301,min15,4.182066063
Census Tract 8339,17031650302,min15,4.148499913
Census Tract 8192,17031650400,min15,5.133648957
Census Tract 8156,17031650500,min15,3.840061367
Census Tract 8180,17031660301,min15,2.473285726
Census Tract 8120,17031660302,min15,1.696382946
Census Tract 8294.02,17031660400,min15,1.713084528
Census Tract 8113.02,17031660500,min15,4.652735869
Census Tract 8028.02,17031660600,min15,2.404241077
Census Tract 8198.01,17031660700,min15,2.707442532
Census Tract 8198.02,17031660800,min15,2.438728318
